Google	1334570
Internet Archive	24504
Texas A&M University	4300
University of Michigan	3894
University of California, Berkeley	2398
Cornell University	2330
Northwestern University	559
University of Missouri, Columbia	342
State University System of Florida	338
	331
University of Illinois at Urbana-Champaign	224
Yale University	186
Columbia University	101
University of Washington	47
Emory University	37
Boston College	19
The Getty Research Institute	16
University of Maryland	1
University of Delaware	1
McGill University	1
