University of Michigan	273672
University of Illinois at Urbana–Champaign	150000
University of Minnesota	147709
The Ohio State University	90805
University of California, Northern Regional Library Facility	84779
University of California, Riverside	77200
Pennsylvania State University	68928
Northwestern University	58548
Technical Report Archive & Image Library	56063
Purdue University	47211
University of California, San Diego	40104
Cornell University	38299
University of Virginia	34025
University of California, Berkeley	30156
University of California, Southern Regional Library Facility	28316
Harvard University	24142
Michigan State University	14538
New York Public Library	13484
Columbia University	13173
University of California, Los Angeles	11193
University of California, Santa Cruz	10740
State University System of Florida	9778
Indiana University	9198
University of Wisconsin, Madison	7965
University of Chicago	7262
University of Texas at Austin	5345
Princeton University	4678
Texas A&M University	4300
University of Illinois at Urbana-Champaign	4047
Library of Congress	3920
University of California, Davis	2764
University of Iowa	1631
University of Massachusetts Amherst	743
University of Alberta	444
University of California, Irvine	364
University of Missouri, Columbia	342
	218
University of North Carolina at Chapel Hill	217
The Getty Research Institute	190
Yale University	186
Duke University	74
University of Connecticut	63
Boston College	60
University of Washington	47
North Carolina State University	39
Emory University	38
Tufts University	21
University of California, San Francisco	6
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
University of Delaware	1
McGill University	1
