University of Michigan	265767
University of Illinois at Urbana–Champaign	147522
University of Minnesota	136949
The Ohio State University	86578
University of California, Northern Regional Library Facility	86079
University of California, Riverside	79156
Pennsylvania State University	67763
Northwestern University	58652
Technical Report Archive & Image Library	58555
Purdue University	47779
Cornell University	38654
University of California, San Diego	37682
Harvard University	35665
University of Virginia	33738
University of California, Berkeley	31887
University of California, Southern Regional Library Facility	23151
New York Public Library	15180
Michigan State University	13347
Columbia University	13315
State University System of Florida	11495
University of California, Los Angeles	10828
University of California, Santa Cruz	10759
Indiana University	9241
University of Chicago	7987
University of Wisconsin, Madison	7983
University of Texas at Austin	5370
Princeton University	4700
Library of Congress	4483
Texas A&M University	4300
University of Illinois at Urbana-Champaign	3954
University of California, Davis	2764
University of Iowa	1631
	1467
University of Massachusetts Amherst	744
University of Alberta	453
University of California, Irvine	364
University of Missouri, Columbia	342
The Getty Research Institute	250
University of North Carolina at Chapel Hill	222
Yale University	187
Emory University	83
Duke University	77
University of Connecticut	63
University of Washington	63
Boston College	60
North Carolina State University	39
Tufts University	21
McGill University	12
University of California, San Francisco	6
University of Delaware	2
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
