Google	1319335
Internet Archive	25459
Texas A&M University	4300
University of Michigan	3924
University of California, Berkeley	3395
Cornell University	2344
State University System of Florida	1122
Northwestern University	559
	490
University of Missouri, Columbia	342
University of Illinois at Urbana-Champaign	229
Yale University	187
Columbia University	113
Emory University	57
University of Washington	55
Boston College	19
The Getty Research Institute	17
University of Delaware	2
University of Maryland	1
McGill University	1
