Public Domain	1199461
In Copyright	119591
Public Domain only when viewed in US	45128
Undetermined	15428
Public Domain but access limited due to privacy concerns	1477
Creative Commons Attribution 4.0 International license	821
In copyright and permitted as world viewable by the copyright holder	580
In copyright in the US	349
Creative Commons Zero license (implies pd)	291
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International license	279
Creative Commons Attribution-ShareAlike 4.0 International license	158
Creative Commons Attribution-NonCommercial-ShareAlike license, 3.0 Unported	146
Creative Commons Attribution-NonCommercial 4.0 International license	121
available to nobody; blocked for all users	89
out-of-print (implies in-copyright)	44
Creative Commons Attribution-NonCommercial-NoDerivatives license, 3.0 Unported	35
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license	17
Creative Commons Attribution-NonCommercial license, 3.0 Unported	7
Creative Commons Attribution-NoDerivatives license, 3.0 Unported	2
