Public Domain	1182181
In Copyright	119965
Public Domain only when viewed in US	42768
Undetermined	15348
Public Domain but access limited due to privacy concerns	1448
Creative Commons Attribution 4.0 International license	808
In copyright and permitted as world viewable by the copyright holder	674
Creative Commons Zero license (implies pd)	293
Creative Commons Attribution-ShareAlike 4.0 International license	157
In copyright in the US	155
Creative Commons Attribution-NonCommercial-ShareAlike license, 3.0 Unported	145
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International license	141
available to nobody; blocked for all users	92
Creative Commons Attribution-NonCommercial 4.0 International license	76
out-of-print (implies in-copyright)	44
Creative Commons Attribution-NonCommercial-NoDerivatives license, 3.0 Unported	35
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license	17
Creative Commons Attribution-NonCommercial license, 3.0 Unported	7
Creative Commons Attribution-NoDerivatives license, 3.0 Unported	2
