University of Michigan	266107
University of Illinois at Urbana–Champaign	148366
University of Minnesota	136956
The Ohio State University	89025
University of California, Northern Regional Library Facility	87116
University of California, Riverside	80784
Pennsylvania State University	67907
Technical Report Archive & Image Library	63314
Northwestern University	58774
Purdue University	47779
University of California, San Diego	39663
Cornell University	39053
Harvard University	36209
University of Virginia	33727
University of California, Berkeley	32266
University of California, Southern Regional Library Facility	23180
New York Public Library	15512
Columbia University	13409
Michigan State University	13322
State University System of Florida	11857
University of California, Los Angeles	10889
University of California, Santa Cruz	10758
Indiana University	9317
University of Chicago	8144
University of Wisconsin, Madison	8076
University of Texas at Austin	5413
Texas A&M University	4809
Princeton University	4731
Library of Congress	4486
	4222
University of Illinois at Urbana-Champaign	4147
University of California, Davis	2769
University of Iowa	1818
University of Massachusetts Amherst	760
University of Alberta	453
University of California, Irvine	357
University of Missouri, Columbia	348
The Getty Research Institute	274
University of North Carolina at Chapel Hill	226
Yale University	188
University of Washington	91
Emory University	84
Duke University	81
University of Connecticut	62
Boston College	60
McGill University	41
North Carolina State University	39
Tufts University	21
University of California, San Francisco	6
University of Delaware	2
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
